path,is_control,slope,noise,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text.started,instruct_text.stopped,ready.keys,ready.rt,ready.started,ready.stopped,timer1.started,timer1.stopped,timer2.started,timer2.stopped,timer3.started,timer3.stopped,timergo.started,timergo.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dataset/157.png,True,-0.0,0.0,none,0,44,44,157,,,,,,,,,,,,,,,68.15936550000333,None,None,None,up,1.2853231000044616,68.15936550000333,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/23.png,False,0.01,0.125,up,0,45,45,23,,,,,,,,,,,,,,,69.9927988000054,None,None,None,up,0.822946199994476,69.9927988000054,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/83.png,False,0.05,0.175,up,0,46,46,83,,,,,,,,,,,,,,,71.35915280000336,None,None,None,up,0.6593749999956344,71.35915280000336,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/2.png,False,0.01,0.0,up,0,47,47,2,,,,,,,,,,,,,,,72.55913860000146,None,None,None,up,0.6638951999993878,72.55913860000146,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/127.png,False,0.1,0.125,up,0,48,48,127,,,,,,,,,,,,,,,73.7592089000027,None,None,None,up,0.5655081000004429,73.7592089000027,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/120.png,False,-0.1,0.1,down,0,49,49,120,,,,,,,,,,,,,,,74.85914530000446,None,None,None,down,0.5806144000016502,74.85914530000446,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/13.png,False,-0.01,0.075,down,0,50,50,13,,,,,,,,,,,,,,,75.97600870000315,None,None,None,down,1.031509799999185,75.97600870000315,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/54.png,False,0.05,0.0,up,0,51,51,54,,,,,,,,,,,,,,,77.5423704000059,None,None,None,up,0.8136929999964195,77.5423704000059,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/134.png,False,0.1,0.175,up,0,52,52,134,,,,,,,,,,,,,,,78.8926266999988,None,None,None,up,0.8258773000052315,78.8926266999988,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/85.png,False,-0.05,0.2,down,0,53,53,85,,,,,,,,,,,,,,,80.25925149999966,None,None,None,down,0.6405215999984648,80.25925149999966,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/165.png,True,-0.5,0.0,down,0,54,54,165,,,,,,,,,,,,,,,81.44254770000407,None,None,None,down,0.60341630000039,81.44254770000407,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/97.png,False,-0.05,0.275,down,0,55,55,97,,,,,,,,,,,,,,,82.59234210000432,None,None,None,down,0.646807400000398,82.59234210000432,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/133.png,False,-0.1,0.175,down,0,56,56,133,,,,,,,,,,,,,,,83.77560169999924,None,None,None,down,0.5607767999972566,83.77560169999924,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/12.png,False,-0.01,0.075,down,0,57,57,12,,,,,,,,,,,,,,,84.87563690000388,None,None,None,up,0.6054772999996203,84.87563690000388,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/96.png,False,-0.05,0.275,down,0,58,58,96,,,,,,,,,,,,,,,86.02559630000178,None,None,None,down,0.7316949000014574,86.02559630000178,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/0.png,False,-0.01,0.0,down,0,59,59,0,,,,,,,,,,,,,,,87.29220720000012,None,None,None,down,0.9970811000021058,87.29220720000012,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/113.png,False,-0.1,0.05,down,0,60,60,113,,,,,,,,,,,,,,,88.80923489999986,None,None,None,down,0.764104200003203,88.80923489999986,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/4.png,False,-0.01,0.025,down,0,61,61,4,,,,,,,,,,,,,,,90.10928810000041,91.60756290000427,91.60756290000427,None,up,2.3359034000022803,90.10928810000041,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/56.png,False,-0.05,0.025,down,0,62,62,56,,,,,,,,,,,,,,,92.99223920000077,None,None,None,down,0.7173633000056725,92.99223920000077,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/132.png,False,-0.1,0.175,down,0,63,63,132,,,,,,,,,,,,,,,94.24216270000034,None,None,None,down,0.9531132999982219,94.24216270000034,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/167.png,True,0.5,0.0,up,0,64,64,167,,,,,,,,,,,,,,,95.74224930000491,None,None,None,up,0.7382440000001225,95.74224930000491,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/114.png,False,0.1,0.05,up,0,65,65,114,,,,,,,,,,,,,,,97.02562610000314,None,None,None,up,0.7098035000017262,97.02562610000314,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/82.png,False,0.05,0.175,up,0,66,66,82,,,,,,,,,,,,,,,98.27527850000479,None,None,None,up,0.8305237000022316,98.27527850000479,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/164.png,True,-0.5,0.0,down,0,67,67,164,,,,,,,,,,,,,,,99.64222810000501,None,None,None,down,0.6075045000034152,99.64222810000501,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/74.png,False,0.05,0.125,up,0,68,68,74,,,,,,,,,,,,,,,100.79217230000359,None,None,None,up,0.8032681999975466,100.79217230000359,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/16.png,False,-0.01,0.1,down,0,69,69,16,,,,,,,,,,,,,,,102.14202070000465,None,None,None,up,1.0013646000006702,102.14202070000465,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/61.png,False,-0.05,0.05,down,0,70,70,61,,,,,,,,,,,,,,,103.6590017999988,None,None,None,down,0.8301726999998209,103.6590017999988,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/115.png,False,0.1,0.05,up,0,71,71,115,,,,,,,,,,,,,,,105.02546640000219,None,None,None,up,0.6583848000009311,105.02546640000219,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/104.png,False,-0.1,0.0,down,0,72,72,104,,,,,,,,,,,,,,,106.20828830000391,None,None,None,down,0.6360453000015696,106.20828830000391,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/152.png,False,-0.1,0.3,down,0,73,73,152,,,,,,,,,,,,,,,107.39207240000542,None,None,None,down,0.7666249000030803,107.39207240000542,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
