path,is_control,slope,noise,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text.started,instruct_text.stopped,ready.keys,ready.rt,ready.started,ready.stopped,timer1.started,timer1.stopped,timer2.started,timer2.stopped,timer3.started,timer3.stopped,timergo.started,timergo.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.375446300000476,None,return,1.1223872999980813,10.375446300000476,None,,,,,,,,,,,,,,,,,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/298.png,False,-0.25,0.275,decreasing,0,0,0,298,,,,,,,11.523776800000633,12.524001300000236,12.507057999999233,13.507348600000114,13.507348600000114,14.507405899999867,14.507405899999867,None,16.238139400000364,19.241000599999097,19.15947640000013,None,down,3.0725639000011142,19.15947640000013,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/2.png,False,-0.01,0.0,decreasing,0,1,1,2,,,,,,,,,,,,,,,22.79216649999944,25.790881500000978,25.790881500000978,None,down,2.090776000000915,25.790881500000978,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/39.png,False,0.01,0.1,increasing,0,2,2,39,,,,,,,,,,,,,,,28.425124099998357,31.424274400000286,31.424274400000286,None,up,1.4725222000015492,31.424274400000286,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/34.png,False,-0.01,0.1,decreasing,0,3,3,34,,,,,,,,,,,,,,,33.441706699999486,36.44078950000039,36.44078950000039,None,down,0.8032257999984722,36.44078950000039,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/125.png,False,0.1,0.05,increasing,0,4,4,125,,,,,,,,,,,,,,,37.79183190000185,40.79079560000173,40.79079560000173,None,up,5.182473500000924,40.79079560000173,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/12.png,False,0.01,0.025,increasing,0,5,5,12,,,,,,,,,,,,,,,46.525119999998424,49.52384330000132,49.52384330000132,None,up,1.3488942999974824,49.52384330000132,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/109.png,False,0.1,0.0,increasing,0,6,6,109,,,,,,,,,,,,,,,51.40838699999949,54.407092500001454,54.407092500001454,None,up,0.607051599999977,54.407092500001454,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/337.png,True,-0.5,0.3,decreasing,0,7,7,337,,,,,,,,,,,,,,,55.557930200000555,58.55697080000027,58.55697080000027,None,down,0.41651220000130706,58.55697080000027,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/159.png,False,0.1,0.15,increasing,0,8,8,159,,,,,,,,,,,,,,,59.50817509999979,62.50695579999956,62.50695579999956,None,up,0.451994700000796,62.50695579999956,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/309.png,False,0.25,0.3,increasing,0,9,9,309,,,,,,,,,,,,,,,63.508048799998505,66.50686900000073,66.50686900000073,None,up,0.6478746000029787,66.50686900000073,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/0.png,False,-0.01,0.0,decreasing,0,10,10,0,,,,,,,,,,,,,,,67.69121470000027,70.69011030000183,70.69011030000183,None,down,0.44079229999988456,70.69011030000183,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/288.png,False,-0.25,0.25,decreasing,0,11,11,288,,,,,,,,,,,,,,,71.67468459999873,74.67348119999951,74.67348119999951,None,down,0.4872331000005943,74.67348119999951,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/289.png,False,-0.25,0.25,decreasing,0,12,12,289,,,,,,,,,,,,,,,75.70784009999988,78.70675109999866,78.70675109999866,None,down,0.8304817999996885,78.70675109999866,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/306.png,False,-0.25,0.3,decreasing,0,13,13,306,,,,,,,,,,,,,,,80.07445569999982,83.07323420000102,83.07323420000102,None,down,0.44434690000343835,83.07323420000102,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/307.png,False,-0.25,0.3,decreasing,0,14,14,307,,,,,,,,,,,,,,,84.05774129999918,87.05649070000072,87.05649070000072,None,down,0.6378657999994175,87.05649070000072,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/162.png,False,-0.1,0.175,decreasing,0,15,15,162,,,,,,,,,,,,,,,88.24102459999995,91.23985620000167,91.23985620000167,None,down,0.7768677000021853,91.23985620000167,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/308.png,False,0.25,0.3,increasing,0,16,16,308,,,,,,,,,,,,,,,92.55752650000068,95.55634920000011,95.55634920000011,None,up,0.4693301999977848,95.55634920000011,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/65.png,False,-0.01,0.2,decreasing,0,17,17,65,,,,,,,,,,,,,,,96.57416770000054,99.57302540000092,99.57302540000092,None,up,0.6458407999998599,99.57302540000092,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
dataset/203.png,False,-0.1,0.3,decreasing,0,18,18,203,,,,,,,,,,,,,,,100.75739500000054,103.75626120000015,103.75626120000015,None,down,0.3446414000027289,103.75626120000015,None,,001,2020_Dec_05_0424,experiment,2020.2.8,60.038208314902484,
