path,is_control,slope,noise,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text.started,instruct_text.stopped,ready.keys,ready.rt,ready.started,ready.stopped,timer1.started,timer1.stopped,timer2.started,timer2.stopped,timer3.started,timer3.stopped,timergo.started,timergo.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.728784900005849,None,return,0.9558700999987195,9.728784900005849,None,,,,,,,,,,,,,,,,,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/126.png,False,0.1,0.125,up,0,0,0,126,,,,,,,10.706407300000137,11.706347899998946,11.689291599999706,12.689510200005316,12.689510200005316,13.689673799999582,13.689673799999582,None,15.368216100003337,17.372978300001705,17.30736479999905,None,up,2.912919399997918,15.368216100003337,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/153.png,False,-0.1,0.3,down,0,1,1,153,,,,,,,,,,,,,,,18.840868500003126,20.839642700004333,20.839642700004333,None,down,2.6173101000022143,18.840868500003126,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/161.png,True,-0.0,0.3,none,0,2,2,161,,,,,,,,,,,,,,,22.007521800005634,24.006327600000077,24.006327600000077,None,down,2.3749562999946647,22.007521800005634,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/142.png,False,0.1,0.225,up,0,3,3,142,,,,,,,,,,,,,,,24.923902300004556,26.922736799999257,26.922736799999257,None,up,2.4086483999999473,24.923902300004556,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/88.png,False,-0.05,0.225,down,0,4,4,88,,,,,,,,,,,,,,,27.8737076000034,29.87280450000253,29.87280450000253,None,down,2.3786244000002625,27.8737076000034,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/169.png,True,-0.5,0.3,down,0,5,5,169,,,,,,,,,,,,,,,30.790258300003188,32.78922600000078,32.78922600000078,None,down,2.4022030999985873,30.790258300003188,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/23.png,False,0.01,0.125,up,0,6,6,23,,,,,,,,,,,,,,,33.740544500004034,35.73934030000237,35.73934030000237,None,up,2.4672219999993104,33.740544500004034,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/72.png,False,-0.05,0.125,down,0,7,7,72,,,,,,,,,,,,,,,36.74046660000022,38.739281400004984,38.739281400004984,None,down,2.392408100000466,36.74046660000022,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/106.png,False,0.1,0.0,up,0,8,8,106,,,,,,,,,,,,,,,39.6738394999993,41.67222089999996,41.67222089999996,None,up,2.382912999994005,39.6738394999993,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/71.png,False,0.05,0.1,up,0,9,9,71,,,,,,,,,,,,,,,42.59045840000181,44.58920990000479,44.58920990000479,None,up,2.3602184999981546,42.59045840000181,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
dataset/65.png,False,-0.05,0.075,down,0,10,10,65,,,,,,,,,,,,,,,45.50712000000203,47.50581170000078,47.50581170000078,None,down,2.3840022000003955,45.50712000000203,None,,001,2020_Dec_05_1229,experiment,2020.2.8,60.029378377852716,
