path,is_control,slope,noise,corrans
dataset/123.png,true,-0.000000,0.000000,none
dataset/124.png,true,0.000000,0.000000,none
dataset/125.png,true,0.000000,0.000000,none
dataset/126.png,true,0.000000,0.000000,none
dataset/127.png,true,0.000000,0.000000,none
dataset/128.png,true,-0.500000,0.000000,down
dataset/129.png,true,-0.500000,0.000000,down
dataset/130.png,true,-0.500000,0.000000,down
dataset/131.png,true,-0.500000,0.000000,down
dataset/132.png,true,0.500000,0.000000,up
dataset/133.png,true,0.500000,0.000000,up
dataset/134.png,true,0.500000,0.000000,up
dataset/135.png,true,0.500000,0.000000,up
